#Year	2015										
#Location	Warsaw, Poland										
#Dates	April 12 - 15										
#Website	https://recomb.org/recomb2015/										
#PC_Chair	Teresa M. Przytycka										
#Organization_Committee	Jerzy Tiuryn (co-chair), Bartek Wilczyński (co-chair), Paweł Bednarz, Agata Charzyńska, Norbert Dojer, Anna Gambin, Paweł Górecki, Ilona Grabowicz, Julia Herman-Iżycka, Aleksander Jankowski, Agnieszka Mykowiecka, Ewa Szczurek, Irina Tuszyńska, Damian Wójtowicz, Rafał Zaborowski										
#Keynotes	Madan Babu, Bonnie Berger, M. Magda Konarska, Michael Levitt, Bas van Steensel, Wacław Szybalski										
#Proceedings_Type	LNCS										
#Proceedings_Volume	9029										
#Authors	RECOMB 2015 Paper Title (Original)	LNCS 9029 Pages	LNCS 9029 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Arnon Mazza, Allon Wagner, Eytan Ruppin, Roded Sharan	Functional Alignment of Metabolic Networks	243-255	10.1007/978-3-319-16706-0_24	NONE		Journal of Computational Biology	Functional Alignment of Metabolic Networks	Arnon Mazza, Allon Wagner, Eytan Ruppin, Roded Sharan	23(5): 390-399	2016	10.1089/cmb.2015.0203
Andrew McPherson, Andrew Roth, Cedric Chauve, S. Cenk Sahinalp	Joint Inference of Genome Structure and Content in Heterogeneous Tumor Samples	256-258	10.1007/978-3-319-16706-0_25	arXiv:1504.03080	10.48550	NONE	N/A	N/A	N/A	N/A	N/A
Nam Nguyen, Siavash Mirarab, Keerthana Kumar, Tandy Warnow	Ultra-Large Alignments Using Ensembles of Hidden Markov Models	259-260	10.1007/978-3-319-16706-0_26	arXiv:1504.01142	10.48550	Genome Biology	Ultra-large alignments using Phylogeny-aware Profiles	Nam-Phuong D. Nguyen, Siavash Mirarab, Keerthana Kumar, Tandy Warnow	16: 124	2015	10.1186/s13059-015-0688-z
Laxmi Parida, Filippo Utro, Deniz Yorukoglu, Anna Paola Carrieri, David Kuhn, Saugata Basu	Topological Signatures for Population Admixture	261-275	10.1007/978-3-319-16706-0_27	NONE		NONE	N/A	N/A	N/A	N/A	N/A
Roy Ronen, Glenn Tesler, Ali Akbari, Shay Zakov, Noah A. Rosenberg, Vineet Bafna	Haplotype Allele Frequency (HAF) Score: Predicting Carriers of Ongoing Selective Sweeps Without Knowledge of the Adaptive Allele	276-280	10.1007/978-3-319-16706-0_28	NONE		PLOS Genetics	Predicting Carriers of Ongoing Selective Sweeps without Knowledge of the Favored Allele	Roy Ronen, Glenn Tesler, Ali Akbari, Shay Zakov, Noah A. Rosenberg, Vineet Bafna	11(9): e1005527	2015	10.1371/journal.pgen.1005527
Leena Salmela, Kristoffer Sahlin, Veli Mäkinen, Alexandru I. Tomescu	Gap Filling as Exact Path Length Problem	281-292	10.1007/978-3-319-16706-0_29	NONE		Journal of Computational Biology	Gap Filling as Exact Path Length Problem	Leena Salmela, Kristoffer Sahlin, Veli Mäkinen, Alexandru I. Tomescu	23(5): 347-361	2016	10.1089/cmb.2015.0197
Emre Sefer, Geet Duggal, Carl Kingsford	Deconvolution of Ensemble Chromatin Interaction Data Reveals the Latent Mixing Structures in Cell Subpopulations	293-308	10.1007/978-3-319-16706-0_30	NONE		Journal of Computational Biology	Deconvolution of Ensemble Chromatin Interaction Data Reveals the Latent Mixing Structures in Cell Subpopulations	Emre Sefer, Geet Duggal, Carl Kingsford	23(6): 425-438	2016	10.1089/cmb.2015.0210
Mingfu Shao and Bernard M.E. Moret	A Fast and Exact Algorithm for the Exemplar Breakpoint Distance	309-322	10.1007/978-3-319-16706-0_31	NONE		Journal of Computational Biology	A Fast and Exact Algorithm for the Exemplar Breakpoint Distance	Mingfu Shao, Bernard M.E. Moret	23(5): 337-346	2016	10.1089/cmb.2015.0193
Maja Temerinac-Ott, Armaghan W. Naik, Robert F. Murphy	Deciding When to Stop: Efficient Experimentation to Learn to Predict Drug-Target Interactions	323-325	10.1007/978-3-319-16706-0_32	arXiv:1504.02406	10.48550	BMC Bioinformatics	Deciding when to stop: Efficient experimentation to learn to predict drug-target interactions	Maja Temerinac-Ott, Armaghan W. Naik, Robert F. Murphy	16: 213	2015	10.1186/s12859-015-0650-9
Fabio Vandin, Benjamin J. Raphael, Eli Upfal	On the Sample Complexity of Cancer Pathways Identification	326-337	10.1007/978-3-319-16706-0_33	NONE		Journal of Computational Biology	On the Sample Complexity of Cancer Pathways Identification	Fabio Vandin, Benjamin J. Raphael, Eli Upfal	23(1): 30-41	2016	10.1089/cmb.2015.0100
Roni Wilentzik and Irit Gat-Viks	A Novel Probabilistic Methodology for eQTL Analysis of Signaling Networks	338-339	10.1007/978-3-319-16706-0_34	NONE		Nucleic Acids Research	A statistical framework for revealing signaling pathways perturbed by DNA variants	Roni Wilentzik, Irit Gat-Viks	43(11): e71	2015	10.1093/nar/gkv203
Shuo Yang, Shai Carmi, Itsik Pe'er	Rapidly Registering Identity-by-Descent Across Ancestral Recombination Graphs	340-353	10.1007/978-3-319-16706-0_35	NONE		Journal of Computational Biology	Rapidly Registering Identity-by-Descent Across Ancestral Recombination Graphs	Shuo Yang, Shai Carmi, Itsik Pe'er	23(6): 495-507	2016	10.1089/cmb.2016.0016
Yichao Zhou, Yuexin Wu, Jianyang Zeng	Computational Protein Design Using AND/OR Branch-and-Bound Search	354-366	10.1007/978-3-319-16706-0_36	NONE		Journal of Computational Biology	Computational Protein Design Using AND/OR Branch-and-Bound Search	Yichao Zhou, Yuexin Wu, Jianyang Zeng	23(6): 439-451	2016	10.1089/cmb.2015.0212
