#Year	2011										
#Location	Vancouver, BC, Canada										
#Dates	March 28 - 31										
#Website	https://recomb.org/recomb2011/										
#PC_Chair	Vineet Bafna										
#Organization_Committee	S. Cenk Sahinalp (chair), Cedric Chauve, Martin Ester, Inanc Birol, Fiona Brinkman, Steven Jones, Anne Condon, Jack Chen, Artem Cherkasov, Colin Collins, Tamon Stephen, Stas Volik, Wyeth Wasserman, Kay Wiese										
#Keynotes	Evan Eichler, Daphne Koller, Marco Marra, Karen Nelson, Elaine Mardis, Joseph Nadeau										
#Proceedings_Type	LNCS										
#Proceedings_Volume	6577										
#Authors	RECOMB 2011 Paper Title (Original)	LNCS 6577 Pages	LNCS 6577 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Yosef Prat, Menachem Fromer, Michal Linial, Nathan Linial	Geometric Interpretation of Gene Expression by Sparse Reconstruction of Transcript Profiles	355-357	10.1007/978-3-642-20036-6_33	NONE		NONE	NA	NA	NA	NA	NA
Shlomi Reuveni, Isaac Meilijson, Martin Kupiec, Eytan Ruppin, Tamir Tuller	A Ribosome Flow Model for Analyzing Translation Elongation	358-360	10.1007/978-3-642-20036-6_34	NONE		NONE	NA	NA	NA	NA	NA
Kyle E. Roberts, Patrick R. Cushing, Prisca Boisguerin, Dean R. Madden, Bruce R. Donald	Design of Protein-Protein Interactions with a Novel Ensemble-Based Scoring Algorithm	361-376	10.1007/978-3-642-20036-6_35	NONE		NONE	NA	NA	NA	NA	NA
Kerstin Scheubert, Franziska Hufsky, Florian Rasche, Sebastian Böcker	Computing Fragmentation Trees from Metabolite Multiple Mass Spectrometry Data	377-391	10.1007/978-3-642-20036-6_36	NONE		Journal of Computational Biology	Computing Fragmentation Trees from Metabolite Multiple Mass Spectrometry Data	Kerstin Scheubert, Franziska Hufsky, Florian Rasche, Sebastian Böcker	18(11): 1383-1397	2011	10.1089/cmb.2011.0168
Emre Sefer and Carl Kingsford	Metric Labeling and Semi-metric Embedding for Protein Annotation Prediction	392-407	10.1007/978-3-642-20036-6_37	NONE		NONE	NA	NA	NA	NA	NA
Solomon Shenker, Charles W. O'Donnell, Srinivas Devadas, Bonnie Berger, Jérôme Waldispühl	Efficient Traversal of Beta-Sheet Protein Folding Pathways Using Ensemble Models	408-423	10.1007/978-3-642-20036-6_38	NONE		Journal of Computational Biology	Efficient Traversal of Beta-Sheet Protein Folding Pathways Using Ensemble Models	Solomon Shenker, Charles W. O'Donnell, Srinivas Devadas, Bonnie Berger, Jérôme Waldispühl	18(11): 1635-1647	2011	10.1089/cmb.2011.0176
Dana Silverbush, Michael Elberfeld, Roded Sharan	Optimally Orienting Physical Networks	424-436	10.1007/978-3-642-20036-6_39	NONE		Journal of Computational Biology	Optimally Orienting Physical Networks	Dana Silverbush, Michael Elberfeld, Roded Sharan	18(11): 1437-1448	2011	10.1089/cmb.2011.0163
Song Gao, Niranjan Nagarajan, Wing-Kin Sung	Opera: Reconstructing Optimal Genomic Scaffolds with High-Throughput Paired-End Sequences	437-451	10.1007/978-3-642-20036-6_40	NONE		Journal of Computational Biology	Opera: Reconstructing Optimal Genomic Scaffolds with High-Throughput Paired-End Sequences	Song Gao, Wing‐Kin Sung, Niranjan Nagarajan	18(11): 1681-1691	2011	10.1089/cmb.2011.0170
Jae Hoon Sul, Buhm Han, Eleazar Eskin	Increasing Power of Groupwise Association Test with Likelihood Ratio Test	452-467	10.1007/978-3-642-20036-6_41	NONE		Journal of Computational Biology	Increasing Power of Groupwise Association Test with Likelihood Ratio Test	Jae Hoon Sul, Buhm Han, Eleazar Eskin	18(11): 1611-1624	2011	10.1089/cmb.2011.0161
Ryan Tarpine, Fumei Lam, Sorin Istrail	Conservative Extensions of Linkage Disequilibrium Measures from Pairwise to Multi-loci and Algorithms for Optimal Tagging SNP Selection	468-482	10.1007/978-3-642-20036-6_42	NONE		NONE	NA	NA	NA	NA	NA
Chittaranjan Tripathy, Jianyang Zeng, Pei Zhou, Bruce Randall Donald	Protein Loop Closure Using Orientational Restraints from NMR Data	483-498	10.1007/978-3-642-20036-6_43	NONE		Proteins	Protein loop closure using orientational restraints from NMR data	Chittaranjan Tripathy, Jianyang Zeng, Pei Zhou, Bruce R. Donald	80(2): 433-453	2011	10.1002/prot.23207
Fabio Vandin, Eli Upfal, Benjamin J. Raphael	De Novo Discovery of Mutated Driver Pathways in Cancer	499-500	10.1007/978-3-642-20036-6_44	NONE		Genome Research	De novo discovery of mutated driver pathways in cancer	Fabio Vandin, Eli Upfal, Benjamin J. Raphael	22(2): 375-385	2011	10.1101/gr.120477.111
Jérôme Waldispühl and Yann Ponty	An Unbiased Adaptive Sampling Algorithm for the Exploration of RNA Mutational Landscapes under Evolutionary Pressure	501-515	10.1007/978-3-642-20036-6_45	NONE		Journal of Computational Biology	An Unbiased Adaptive Sampling Algorithm for the Exploration of RNA Mutational Landscapes Under Evolutionary Pressure	Jérôme Waldispühl, Yann Ponty	18(11): 1465-1479	2011	10.1089/cmb.2011.0181
Fabian L. Wauthier, Michael I. Jordan, Nebojsa Jojic	Nonparametric Combinatorial Sequence Models	516-530	10.1007/978-3-642-20036-6_46	NONE		Journal of Computational Biology	Nonparametric Combinatorial Sequence Models	Fabian L. Wauthier, Michael I. Jordan, Nebojša Jojić	18(11): 1649-1660	2011	10.1089/cmb.2011.0175
Yun Yu, Tandy Warnow, Luay Nakhleh	Algorithms for MDC-Based Multi-locus Phylogeny Inference	531-545	10.1007/978-3-642-20036-6_47	NONE		Journal of Computational Biology	Algorithms for MDC-Based Multi-Locus Phylogeny Inference: Beyond Rooted Binary Gene Trees on Single Alleles	Yun Yu, Tandy Warnow, Luay Nakhleh	18(11): 1543-1559	2011	10.1089/cmb.2011.0174
Shay Zakov, Yoav Goldberg, Michael Elhadad, Michal Ziv-Ukelson	Rich Parameterization Improves RNA Structure Prediction	546-562	10.1007/978-3-642-20036-6_48	NONE		Journal of Computational Biology	Rich Parameterization Improves RNA Structure Prediction	Shay Zakov, Yoav Goldberg, Michael Elhadad, Michal Ziv-Ukelson	18(11): 1525-1542	2011	10.1089/cmb.2011.0184
Jianyang Zeng, Kyle E. Roberts, Pei Zhou, Bruce R. Donald	A Bayesian Approach for Determining Protein Side-Chain Rotamer Conformations Using Unassigned NOE Data	563-578	10.1007/978-3-642-20036-6_49	NONE		Journal of Computational Biology	A Bayesian Approach for Determining Protein Side-Chain Rotamer Conformations Using Unassigned NOE Data	Jianyang Zeng, Kyle E. Roberts, Pei Zhou, Bruce R. Donald	18(11): 1661-1679	2011	10.1089/cmb.2011.0172
