Authors	RECOMB 2026 Paper Title (Original)	LNCS 1xxxx Pages	LNCS 1xxxx DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Jamshed Khan, Laxman Dhulipala, Prashant Pandey, Rob Patro	Faster and Scalable Parallel External-Memory Construction of Colored Compacted de Bruijn Graphs with Cuttlefish 3			bioRxiv 2025.02.02.636161	NONE					
Chenxin Flora Jiang, Changhu Wang, Jingyi Jessica Li	Nullstrap-DE: A General Framework for Calibrating FDR and Preserving Power in Differential Expression Methods, with Applications to DESeq2 and edgeR			arXiv:2507.20598	NONE					
Luqi Yang, Zhenwei Huang, Hongyi Xin, Jinpu Cai	Gene-First Identity Construction for Robust Cell Identification in Single-Cell Transcriptomics			bioRxiv 2026.02.25.707869	NONE					
Chris Dong, Yihui Cen, Dongyuan Song, Jingyi Jessica Li	scDesignPop generates population-scale single-cell RNA-seq data for power analysis, method benchmarking, and privacy protection			bioRxiv 2026.02.23.707578	NONE					
Jens Zentgraf, Johanna Schmitz, Andreas Keller, Sven Rahmann	Error Correction Algorithms for Efficient Gene Quantification in Single Cell Transcriptomics			bioRxiv 2025.11.27.690682	NONE					
Wenjun Zhao, Elana Fertig, Genevieve Stein-O'Brien	CycleGRN: Inferring Gene Regulatory Networks from Cyclic Flow Dynamics in Single-Cell RNA-seq			bioRxiv 2025.11.12.688126	NONE					
Adithya Madduri, Randall Ellis, Chirag Patel	Protein Compositional Ratio Representation (PCRR) Systematically Improves Human Disease Prediction			bioRxiv 2025.11.29.691286	NONE					
Daniel Lazarev, Anna Sappington, Grant Chau, Ruochi Zhang, Bonnie Berger	Constrained diffusion as a paradigm for evolution			bioRxiv 2026.03.10.710948	NONE					
Jiayi Li, Yanruisheng Shao, Yu Li, Qinze Yu	Integrative Multi‑Scale Sequence–Structure Modeling for Antimicrobial Peptide Prediction and Design			bioRxiv 2026.02.24.707610	NONE					
Jinqiu Du, Kevin Z. Lin	Integrating morphology and gene expression in unpaired single-cell data using GeoAdvAE			bioRxiv 2025.11.19.689368	NONE					
Kerr Ding, Ziang Li, Tony Tu, Jiaqi Luo, Yunan Luo	Deconvolving mutation effects on protein stability and function with disentangled protein language models			bioRxiv 2026.02.03.703560	NONE					
Mahsa Faizrahnemoon, Jens Luebeck, King L. Hung, Suhas Rao, Matthew G. Jones, Paul S. Mischel, Howard Y. Chang, Kaiyuan Zhu, Vineet Bafna	Fast and accurate resolution of ecDNA sequence using Cycle-Extractor			bioRxiv 2026.03.10.710955	NONE					
Marjan Hosseini, Ella Veiner, Thomas Bergendahl, Tala Yasenpoor, Zane Smith, Margaret Staton, Derek Aguiar	pHapCompass: Probabilistic Assembly and Uncertainty Quantification of Polyploid Haplotype Phase			arXiv:2512.04393	NONE					
Mustafa Coşkun, Filipa Blasco Lopes, Pınar Kubilay Tolunay, Mark R. Chance, Mehmet Koyutürk	scProfiterole: Clustering of Single-Cell Proteomic Data Using Graph Contrastive Learning via Spectral Filters			bioRxiv 2026.02.26.708196	NONE					
Sanjana Tule, Samuel Davis, Ivan Koludarov, Ariane Mora, Mikael Boden	Generating Hybrid Proteins with the MSA-Transformer			bioRxiv 2025.11.20.689447	NONE					
Xiaoqi Sheng, Jiawen Liu, Jiaming Liang, Yiheng Zhang, Sankar Mondal, Yutong Li, Tinghe Zhang, Bing Liu, Jiangning Song, Hongmin Cai	Modeling Multi-Modal Brain Connectomes for Brain Disorder Diagnosis via Graph Diffusion Optimal Transport Network			bioRxiv 2026.03.05.709693	NONE					
Xinhao Liu, Hongyu Zheng, Peter Halmos, Julian Gold, Erik Storrs, Li Ding, Ben Raphael	Multimodal spatial alignment and morphology mapping with MOSAICField			bioRxiv 2026.03.10.710931	NONE					
