#Year	2018										
#Location	Paris, France										
#Dates	April 21 - 24										
#Website	https://recomb.org/recomb2018/										
#PC_Chair	Benjamin J. Raphael										
#Organization_Committee	Yann Ponty (co-chair), Mireille Regnier (co-chair), Alessandra Carbone, Celine Scornavacca, Eric Tannier, Hélène Touzet, Stéphane Vialette										
#Keynotes	Peter Campbell, Ron Shamir, Sarah Teichmann, Nevan Krogan, Francois Spitz, Tandy Warnow										
#Proceedings_Type	LNCS										
#Proceedings_Volume	10812										
#Authors	RECOMB 2018 Paper Title (Original)	LNCS 10812 Pages	LNCS 10812 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Prashant Pandey, Fatemeh Almodaresi, Michael A. Bender, Michael Ferdman, Rob Johnson, Rob Patro	Mantis: A Fast, Small, and Exact Large-Scale Sequence-Search Index	271-273	10.1007/978-3-319-89929-9	bioRxiv 217372	10.1101	Cell Systems	Mantis: A Fast, Small, and Exact Large-Scale Sequence-Search Index	Prashant Pandey, Fatemeh Almodaresi, Michael A Bender, Michael Ferdman, Rob Johnson, Rob Patro	7(2):201-207	2018	10.1016/j.cels.2018.05.021
Elior Rahmani, Regev Schweiger, Saharon Rosset, Sriram Sankararaman, Eran Halperin	Tensor Composition Analysis Detects Cell-Type Specific Associations in Epigenetic Studies	274-275	10.1007/978-3-319-89929-9	bioRxiv 437368	10.1101	Nature Communications	Cell-type-specific resolution epigenetics without the need for cell sorting or single-cell biology	Elior Rahmani, Regev Schweiger, Brooke Rhead, Lindsey A. Criswell, Lisa F. Barcellos, Eleazar Eskin, Saharon Rosset, Sriram Sankararaman & Eran Halperin 	10(1):3417	2019	10.1038/s41467-019-11052-9
Shahab Sarmashghi, Kristine Bohmann, M. Thomas P. Gilbert, Vineet Bafna, Siavash Mirarab	Assembly-Free and Alignment-Free Sample Identification Using Genome Skims	276-277	10.1007/978-3-319-89929-9	NONE		Genome Biology	Skmer: assembly-free and alignment-free sample identification using genome skims	Shahab Sarmashghi, Kristine Bohmann, M. Thomas P. Gilbert, Vineet Bafna, Siavash Mirarab	20(1):34	2019	10.1186/s13059-019-1632-4
Rebecca Sarto Basso, Dorit S. Hochbaum, Fabio Vandin	Efficient Algorithms to Discover Alterations with Complementary Functional Association in Cancer	278-279	10.1007/978-3-319-89929-9	NONE		PLOS Computational Biology	Efficient algorithms to discover alterations with complementary functional association in cancer	Rebecca Sarto Basso, Dorit S. Hochbaum, Fabio Vandin	15(5):e1006802	2019	10.1371/journal.pcbi.1006802
Ariya Shajii, Ibrahim Numanagić, Bonnie Berger	Latent Variable Model for Aligning Barcoded Short-Reads Improves Downstream Analyses	280-282	10.1007/978-3-319-89929-9	bioRxiv 220236	10.1101	NONE					
Dana Silverbush, Simona Cristea, Gali Yanovich, Tamar Geiger, Niko Beerenwinkel, Roded Sharan	ModulOmics: Integrating Multi-Omics Data to Identify Cancer Driver Modules.	283-284	10.1007/978-3-319-89929-9	bioRxiv 288399	10.1101	NONE					
Jochen Singer, Jack Kuipers, Katharina Jahn, Niko Beerenwinkel	SCIΦ: Single-Cell Mutation Identification via Phylogenetic Inference	285-286	10.1007/978-3-319-89929-9	bioRxiv 290908	10.1101	Nature Communications	Single-cell mutation identification via phylogenetic inference	Jochen Singer, Jack Kuipers, Katharina Jahn, Niko Beerenwinkel	9: 5144	2018	10.1038/s41467-018-07627-7
Yijie Wang, Jan Hoinka, Piotr Swiderski, Teresa M. Przytycka	AptaBlocks: Accelerating the Design of RNA-Based Drug Delivery Systems	287-288	10.1007/978-3-319-89929-9	bioRxiv 216465	10.1101	Nucleic Acids Research	AptaBlocks: Accelerating the Design of RNA-based Drug Delivery Systems	Yijie Wang, Jan Hoinka, Yong Liang, Tomasz Adamus, Piotr Swiderski, and Teresa M. Przytycka	46(16):8133-8142	2018	10.1093/nar/gky696
Yue Wu, Eleazar Eskin, Sriram Sankararaman	A Unifying Framework for Summary Statistic Imputation	289-290	10.1007/978-3-319-89929-9	bioRxiv 292664		Journal of Computational Biology	A Unifying Framework for Imputing Summary Statistics in Genome-Wide Association Studies	Yue Wu, Eleazar Eskin, Sriram Sankararaman	27(3): 418-428	2020	10.1089/cmb.2019.0449
Naomi Yamada, William K. M. Lai, Nina Farrell, B. Franklin Pugh, Shaun Mahony	Characterizing Protein-DNA Binding Event Subtypes in ChIP-Exo Data	291-292	10.1007/978-3-319-89929-9	NONE		Journal of Computational Biology	ChExMix: A Method for Identifying and Classifying Protein–DNA Interaction Subtypes	Naomi Yamada, Prashant Kumar Kuntala, B. Franklin Pugh, Shaun Mahony	27(3): 429-435	2020	10.1089/cmb.2019.0466
Yang Yang, Quanquan Gu, Takayo Sasaki, Julianna Crivello, Rachel O'Neill, David M. Gilbert, Jian Ma	Continuous-Trait Probabilistic Model for Comparing Multi-species Functional Genomic Data.	293-294	10.1007/978-3-319-89929-9	NONE		Cell Systems	Continuous-Trait Probabilistic Model for Comparing Multi-species Functional Genomic Data	Yang Yang, Quanquan Gu, Yang Zhang, Takayo Sasaki, Julianna Crivello, Rachel J. O'Neill, David M. Gilbert, Jian Ma	7(2):208-218.e11	2018	10.1016/j.cels.2018.05.022
Tian-Ming Zhou, Sheng Wang, Jinbo Xu	Deep Learning Reveals Many More Inter-protein Residue-Residue Contacts than Direct Coupling Analysis	295-296	10.1007/978-3-319-89929-9	bioRxiv 240754	10.1101	NONE					
