#Year	2010										
#Location	Lisbon, Portugal										
#Dates	August 12 - 15										
#Website	https://recomb.org/recomb2010										
#PC_Chair	Bonnie Berger										
#Organization_Committee	Arlindo Oliveira (co-chair), Ana Teresa Freitas (co-chair), João Carriço, Alexandre Francisco, Paulo Fonseca, José Pereira Leal, Sara Madeira, Luís Rocha, Sara Silva, Susana Vinga										
#Keynotes	Cecilia Arraiano, David Bartel, Isaac Kohane, Phil Kapranov, Norbert Perrimon, Mona Singh										
#Proceedings_Type	LNCS										
#Proceedings_Volume	6044										
#Authors	RECOMB 2010 Paper Title (Original)	LNCS 6044 Pages	LNCS 6044 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Bogdan Pasaniuc, Noah Zaitlen, Eran Halperin	Accurate Estimation of Expression Levels of Homologous Genes in RNA-seq Experiments	397-409	10.1007/978-3-642-12683-3_26	NONE		Journal of Computational Biology	Accurate Estimation of Expression Levels of Homologous Genes in RNA-seq Experiments	Bogdan Pasaniuc, Noah Zaitlen, Eran Halperin	18(3): 459-468	2011	10.1089/cmb.2010.0259
Benedict Paten, Mark Diekhans, Dent Earl, John St. John, Jian Ma, Bernard Suh, David Haussler	Cactus Graphs for Genome Comparisons	410-425	10.1007/978-3-642-12683-3_27	NONE		Journal of Computational Biology	Cactus Graphs for Genome Comparisons	Benedict Paten, Mark Diekhans, Dent Earl, John St. John, Jian Ma, Bernard Suh, David Haussler	18(3): 469-481	2011	10.1089/cmb.2010.0252
Yu Peng, Henry C.M. Leung, S.M. Yiu, Francis Y.L. Chin	IDBA A Practical Iterative de Bruijn Graph De Novo Assembler	426-440	10.1007/978-3-642-12683-3_28	NONE		NONE	NA	NA	NA	NA	NA
Sheila M. Reynolds, Zhiping Weng, Jeff A. Bilmes, William Stafford Noble	Predicting Nucleosome Positioning Using Multiple Evidence Tracks	441-455	10.1007/978-3-642-12683-3_29	NONE		NONE	NA	NA	NA	NA	NA
Barna Saha, Allison Hoch, Samir Khuller, Louiga Raschid, Xiao-Ning Zhang	Dense Subgraphs with Restrictions and Applications to Gene Annotation Graphs	456-472	10.1007/978-3-642-12683-3_30	NONE		NONE	NA	NA	NA	NA	NA
Raheleh Salari, Mathias Möhl, Sebastian Will, S. Cenk Sahinalp, Rolf Backofen	Time and Space Efficient RNA-RNA Interaction Prediction via Sparse Folding	473-490	10.1007/978-3-642-12683-3_31	NONE		NONE	NA	NA	NA	NA	NA
Manu N. Setty, Alexander Gusev, Itsik Pe'er	HLA Type Inference via Haplotypes Identical by Descent	491-505	10.1007/978-3-642-12683-3_32	NONE		Journal of Computational Biology	HLA Type Inference via Haplotypes Identical by Descent	Manu Setty, Alexander Gusev, Itsik Pe’er	18(3): 483-493	2011	10.1089/cmb.2010.0258
Fabio Vandin, Eli Upfal, Benjamin J. Raphael	Algorithms for Detecting Significantly Mutated Pathways in Cancer	506-521	10.1007/978-3-642-12683-3_33	NONE		Journal of Computational Biology	Algorithms for Detecting Significantly Mutated Pathways in Cancer	Fabio Vandin, Eli Upfal, Benjamin J. Raphael	18(3): 507-522	2011	10.1089/cmb.2010.0265
Christian Widmer, Jose Leiva, Yasemin Altun, Gunnar Rätsch	Leveraging Sequence Classification by Taxonomy-Based Multitask Learning	522-534	10.1007/978-3-642-12683-3_34	NONE		NONE	NA	NA	NA	NA	NA
Yu-Wei Wu and Yuzhen Ye	A Novel Abundance-Based Algorithm for Binning Metagenomic Sequences Using ℓ-Tuples	535-549	10.1007/978-3-642-12683-3_35	NONE		Journal of Computational Biology	A Novel Abundance-Based Algorithm for Binning Metagenomic Sequences Using ℓ-tuples	Yu‐Wei Wu, Yuzhen Ye	18(3): 523-534	2011	10.1089/cmb.2010.0245
Jianyang Zeng, Pei Zhou, Bruce Randall Donald	A Markov Random Field Framework for Protein Side-Chain Resonance Assignment	550-570	10.1007/978-3-642-12683-3_36	NONE		NONE	NA	NA	NA	NA	NA
Benny Chor, David Horn, Nick Goldman, Yaron Levy, Tim Massingham	Genomic DNA k-mer Spectra: Models and Modalities	571-571	10.1007/978-3-642-12683-3_37	NONE		Genome Biology	Genomic DNA k-mer spectra: models and modalities	Benny Chor, D. Horn, Nick Goldman, Yaron Y. Levy, Tim Massingham	10(10): R108	2009	10.1186/gb-2009-10-10-r108
Richard Goldstein, Mario dos Reis, Asif Tamuri, Alan Hay	Deciphering the Swine-Flu Pandemics of 1918 and 2009	572-573	10.1007/978-3-642-12683-3_38	NONE		NONE	NA	NA	NA	NA	NA
Raluca Gordân, Alexander J. Hartemink, Martha L. Bulyk	Distinguishing Direct versus Indirect Transcription Factor-DNA Interactions	574-574	10.1007/978-3-642-12683-3_39	NONE		Genome Research	Distinguishing direct versus indirect transcription factor–DNA interactions	Raluca Gordân, Alexander J. Hartemink, Martha L. Bulyk	19(11): 2090-2100	2009	10.1101/gr.094144.109
Jean-Denis Benazet, Mirko Bischofberger, Eva Tiecke, Alexandre Gonalves, James F. Martin, Aime Zuniga, Felix Naef, Rolf Zeller	A Self-regulatory System of Interlinked Signaling Feedback Loops Controls Mouse Limb Patterning	575-576	10.1007/978-3-642-12683-3_40	NONE		Science	A Self-Regulatory System of Interlinked Signaling Feedback Loops Controls Mouse Limb Patterning	Jean-Denis Bénazet, Mirko Bischofberger, Eva Tiecke, Alexandre Gonçalves, James F. Martin, Aimée Zúñiga, Félix Naef, Rolf Zeller	323(5917): 1050-1053	2009	10.1126/science.1168755
Saumyadipta Pyne, Xinli Hu, Kui Wang, Elizabeth Rossin, Tsung-I Lin, Lisa Maier, Clare Baecher-Allan, Geoffrey McLachlan, Pablo Tamayo, David Hafler, Philip De Jager, Jill Mesirov	Automated High-Dimensional Flow Cytometric Data Analysis	577-577	10.1007/978-3-642-12683-3_41	NONE		Proceedings of the National Academy of Sciences	Automated high-dimensional flow cytometric data analysis.	Saumyadipta Pyne, Xinli Hu, Kui Wang, Elizabeth J. Rossin, Tsung‐I Lin, Lisa M. Maier, Clare Baecher‐Allan, Geoffrey J. McLachlan, Pablo Tamayo, David A. Hafler, Philip L. De Jager, Jill P. Mesirov	106(21): 8519-24	2009	10.1073/pnas.0903028106
Yonit Halperin, Chaim Linhart, Igor Ulitsky, Ron Shamir	Discovering Transcriptional Modules by Combined Analysis of Expression Profiles and Regulatory Sequences	578-580	10.1007/978-3-642-12683-3_42	NONE		NONE	NA	NA	NA	NA	NA
